location_code,n,mean_residual_C,std_residual_C,median_residual_C,mean_abs_residual_C
CASE_SIDE,1,35.55000000000004,,35.55000000000004,35.55000000000004
CASE_BOTTOM,19,26.994210526315808,9.013856811591976,26.920000000000044,26.994210526315808
PCB_BACKSIDE,14,26.470714285714312,7.503529901920224,25.710000000000008,26.470714285714312
DIE_TOP,17,24.547647058823554,10.980361178834109,28.27000000000001,24.547647058823554
CASE_TOP_CENTER,14,23.08357142857145,7.105581345937595,23.07000000000002,23.08357142857145
HEATSINK_BASE,16,22.734375000000025,11.211266933313112,23.41500000000002,22.734375000000025
AMBIENT_REF,8,22.475000000000033,7.53580406175365,20.415000000000035,22.475000000000033
