config,n,mean_residual_C,std_residual_C,median_residual_C,mean_abs_residual_C,min_residual_C,max_residual_C
POWERMOD-C,2,26.345,0.7990306627407955,26.345,26.345,25.78,26.909999999999997
POWERMOD-D,4,25.252500000000023,8.365661460199473,25.27000000000003,25.252500000000023,16.05000000000001,34.420000000000016
POWERMOD-A,80,24.86975000000002,9.436341006040346,26.419999999999998,24.86975000000002,4.3799999999999955,42.640000000000015
POWERMOD-B,3,19.926666666666705,8.378880195666573,15.250000000000043,19.926666666666705,14.930000000000021,29.60000000000005
